feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.015002,0.001354,0.016356,0
1,0.014665,0.001227,0.015892,0
1,0.014441,0.001418,0.015859,0
0,0.014270,0.383676,0.397946,0
1,0.014634,0.000003,0.014637,1
0,0.014593,0.391222,0.405815,0
1,0.014771,0.000002,0.014773,1
1,0.014912,0.000002,0.014914,1
1,0.014749,0.000002,0.014751,1
1,0.015023,0.001335,0.016358,0
1,0.014295,0.001299,0.015594,0
1,0.014287,0.001481,0.015768,0
1,0.014651,0.001327,0.015978,0
1,0.014433,0.000002,0.014435,1
1,0.014785,0.001379,0.016164,0
1,0.014559,0.001333,0.015892,0
1,0.014536,0.001317,0.015853,0
1,0.014749,0.001371,0.016120,0
1,0.014544,0.000002,0.014546,1
1,0.014810,0.000003,0.014813,1
0,0.014443,0.396105,0.410548,0
0,0.014554,0.389521,0.404075,0
1,0.014130,0.001336,0.015466,0
1,0.015348,0.000002,0.015350,1
1,0.014599,0.001266,0.015865,0
1,0.014646,0.000002,0.014648,1
1,0.014494,0.001317,0.015811,0
1,0.013941,0.001399,0.015340,0
0,0.014923,0.397651,0.412574,0
1,0.014600,0.001414,0.016014,0
1,0.014160,0.001314,0.015474,0
1,0.014352,0.001227,0.015579,0
0,0.014670,0.393370,0.408040,0
1,0.014464,0.001510,0.015974,0
0,0.014365,0.372853,0.387218,0
0,0.014077,0.385951,0.400028,0
0,0.014812,0.398983,0.413795,0
1,0.014630,0.001318,0.015948,0
0,0.015022,0.406139,0.421161,0
0,0.014853,0.402516,0.417369,0
0,0.014403,0.394370,0.408773,0
1,0.014822,0.001324,0.016146,0
1,0.014726,0.001328,0.016054,0
1,0.014743,0.001368,0.016111,0
1,0.014601,0.001414,0.016015,0
0,0.014631,0.403860,0.418491,0
0,0.014947,0.396975,0.411922,0
1,0.014939,0.001279,0.016218,0
0,0.014594,0.401919,0.416513,0
1,0.014235,0.000002,0.014237,1
0,0.014565,0.397288,0.411853,0
0,0.014231,0.387833,0.402064,0
1,0.014913,0.000002,0.014915,1
1,0.014633,0.000002,0.014635,1
0,0.014417,0.392174,0.406591,0
1,0.015100,0.000002,0.015102,1
0,0.014381,0.385527,0.399908,0
1,0.014574,0.001325,0.015899,0
1,0.015316,0.001224,0.016540,0
1,0.014838,0.000002,0.014840,1
1,0.014961,0.001349,0.016310,0
0,0.014636,0.396078,0.410714,0
0,0.014474,0.394386,0.408860,0
1,0.014997,0.001259,0.016256,0
1,0.014870,0.000002,0.014872,1
0,0.014334,0.393221,0.407555,0
0,0.015042,0.411500,0.426542,0
0,0.014636,0.398007,0.412643,0
1,0.014718,0.001414,0.016132,0
0,0.014541,0.397866,0.412407,0
1,0.014435,0.001325,0.015760,0
1,0.014108,0.001350,0.015458,0
0,0.014476,0.337118,0.351594,0
0,0.015433,0.407947,0.423380,0
1,0.014649,0.001660,0.016309,0
1,0.014761,0.001287,0.016048,0
1,0.014372,0.001303,0.015675,0
0,0.014666,0.390146,0.404812,0
0,0.015230,0.401297,0.416527,0
1,0.014268,0.001405,0.015673,0
1,0.016086,0.002082,0.018168,0
1,0.019954,0.000003,0.019957,1
1,0.014444,0.001284,0.015728,0
1,0.014628,0.001392,0.016020,0
1,0.014666,0.001425,0.016091,0
0,0.014565,0.395860,0.410425,0
1,0.014729,0.001327,0.016056,0
1,0.014573,0.000002,0.014575,1
1,0.014223,0.000002,0.014225,1
1,0.014864,0.001356,0.016220,0
1,0.014614,0.001430,0.016044,0
1,0.014989,0.001717,0.016706,0
1,0.014700,0.001277,0.015977,0
0,0.014784,0.394420,0.409204,0
0,0.014496,0.396417,0.410913,0
0,0.014339,0.392676,0.407015,0
1,0.014262,0.001264,0.015526,0
1,0.014477,0.000002,0.014479,1
1,0.014915,0.001406,0.016321,0
1,0.014689,0.000002,0.014691,1
